instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
./data/wuf75-325/wuf75-325-M/wuf75-01.mwcnf,20466,20466,234499,234499,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-010.mwcnf,18638,18638,148150,148150,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-0100.mwcnf,26573,26573,6418,6418,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-011.mwcnf,24430,24430,690,690,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-012.mwcnf,26137,26137,120,120,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-013.mwcnf,23613,24689,575431,118851,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-014.mwcnf,24016,24016,117693,117693,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-015.mwcnf,26123,26123,116087,116087,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-016.mwcnf,25071,25071,72,72,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-017.mwcnf,21278,21278,131207,131207,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-018.mwcnf,22180,22180,132562,132562,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-019.mwcnf,25800,25800,53,53,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-02.mwcnf,26931,26931,9097,9097,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-020.mwcnf,31523,31523,1052,1052,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-021.mwcnf,28198,28700,575482,30782,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-022.mwcnf,23984,24729,575453,244453,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-023.mwcnf,22975,22975,4455,4455,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-024.mwcnf,20396,20396,10705,10705,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-025.mwcnf,28737,28737,23015,23015,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-026.mwcnf,19184,19184,1195,1195,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-027.mwcnf,20380,20380,232283,232283,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-028.mwcnf,25348,25348,118777,118777,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-029.mwcnf,15896,16731,575477,116157,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-03.mwcnf,24453,24453,53,53,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-030.mwcnf,22741,22741,1027,1027,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-031.mwcnf,26208,26208,10109,10109,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-032.mwcnf,25279,25279,2955,2955,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-033.mwcnf,20455,20455,32690,32690,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-034.mwcnf,20186,20186,4506,4506,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-035.mwcnf,27711,27711,16397,16397,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-036.mwcnf,27933,27933,1363,1363,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-037.mwcnf,27370,27370,837,837,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-038.mwcnf,25801,25801,357,357,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-039.mwcnf,25506,25506,7904,7904,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-04.mwcnf,27932,27932,366,366,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-040.mwcnf,0,24296,0,0,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-041.mwcnf,25576,25576,785,785,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-042.mwcnf,24792,24792,25405,25405,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-043.mwcnf,24777,24777,117588,117588,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-044.mwcnf,23558,23558,334,334,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-045.mwcnf,24209,24209,2842,2842,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-046.mwcnf,25239,25239,90,90,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-047.mwcnf,19682,20031,575467,354707,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-048.mwcnf,23576,23576,17781,17781,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-049.mwcnf,20793,22467,575466,140386,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-05.mwcnf,26883,26883,208,208,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-050.mwcnf,24488,24488,488818,488818,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-051.mwcnf,26586,26586,1113,1113,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-052.mwcnf,22234,22234,1794,1794,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-053.mwcnf,25119,25119,233149,233149,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-054.mwcnf,19959,21131,575430,231720,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-055.mwcnf,0,25800,0,0,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-056.mwcnf,22534,22534,5095,5095,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-057.mwcnf,22436,22436,954,954,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-058.mwcnf,28282,28282,232909,232909,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-059.mwcnf,29228,29228,234791,234791,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-06.mwcnf,20922,20922,115758,115758,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-060.mwcnf,22995,24256,575417,1067,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-061.mwcnf,23820,23820,138,138,10000,0.999
./data/wuf75-325/wuf75-325-M/wuf75-062.mwcnf,25574,25574,778,778,10000,0.999
