instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf20-91-M wuf20-0814.mwcnf,6120,6120,28,28,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,739,739,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,3,3,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,76,76,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,38,38,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,6,6,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,2051,2051,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,43,43,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,50,50,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,31,31,100,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,8,8,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,92,92,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,2,2,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,6988,6988,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,44,44,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,47,47,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,11,11,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,28,28,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,66,66,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,16,16,100,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,43,43,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,138,138,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,69171,69171,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,30,30,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,69062,69062,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,90,90,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,69264,69264,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,91,91,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,43,43,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,69110,69110,100,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,1769,1769,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,40,40,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,66,66,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,0,0,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,81,81,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,68,68,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,1980,1980,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,24,24,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,49,49,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,24,24,1000,0.9
wuf20-91-M wuf20-0814.mwcnf,6120,6120,1,1,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,9189,9189,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,40,40,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,9177,9177,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,9296,9296,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,92,92,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,15,15,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,173,173,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,17,17,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,43,43,1000,0.99
wuf20-91-M wuf20-0814.mwcnf,6120,6120,37,37,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,21,21,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,112,112,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,463,463,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,78,78,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,92062,92062,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,81,81,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,7,7,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,114,114,1000,0.999
wuf20-91-M wuf20-0814.mwcnf,6120,6120,268,268,1000,0.999
