instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf50-218-M wuf50-0680.mwcnf,3429,3429,49071,49071,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,3873,3873,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,88824,88824,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,56992,56992,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,549,549,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,115555,115555,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,21207,21207,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,12945,12945,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,19099,19099,10000,0.9999
wuf50-218-M wuf50-0680.mwcnf,3429,3429,17178,17178,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,1187,1187,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,27216,27216,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,2734,2734,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,1179718,1179718,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,1160581,1160581,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,14190,14190,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,1159900,1159900,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17499,17500,5756235,22995,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17452,17500,5756212,362,10000,0.9999
wuf50-218-M wuf50-0505.mwcnf,17500,17500,4612600,4612600,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,25250,25250,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,68027,68027,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,1358,1358,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,1193563,1193563,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,27729,27729,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,1153155,1153155,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,30937,30937,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,5255,5255,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,1180074,1180074,10000,0.9999
wuf50-218-M wuf50-0362.mwcnf,20869,20869,1170001,1170001,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,1152752,1152752,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,2039,2039,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,17,17,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,306,306,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,2651,2651,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,459,459,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,332,332,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,2952,2952,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,831,831,10000,0.9999
wuf50-218-M wuf50-0540.mwcnf,12118,12118,996,996,10000,0.9999
wuf50-218-M wuf50-0308.mwcnf,22151,22151,277,277,10000,0.9999
wuf50-218-M wuf50-0308.mwcnf,22151,22151,46,46,10000,0.9999
wuf50-218-M wuf50-0308.mwcnf,22151,22151,408,408,10000,0.9999
