instance,best_cost,optimum,iter,iter_last_increase,temperature,alpha
wuf75-325-M wuf75-027.mwcnf,20380,20380,2304582,2304582,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,4608876,4608876,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,3457245,3457245,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,4608924,4608924,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,4605485,4605485,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,19853,20380,5756233,943,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,1158302,1158302,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,1153996,1153996,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,19853,20380,5756217,4077,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,1155785,1155785,10000,0.9999
wuf75-325-M wuf75-027.mwcnf,20380,20380,11515314,11515314,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,646,646,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,19853,20380,57564364,24,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,46052446,46052446,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,46052631,46052631,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,34538931,34538931,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,2112,2112,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,23029434,23029434,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,11518700,11518700,10000,0.99999
wuf75-325-M wuf75-027.mwcnf,20380,20380,65,65,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,270,270,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,966,966,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,657,657,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,1284,1284,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,530,530,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,155,155,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,561,561,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,1024,1024,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,3296,3296,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,689,689,10000,0.9999
wuf75-325-M wuf75-016.mwcnf,25071,25071,1738,1738,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,1818,1818,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,136,136,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,1317,1317,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,1050,1050,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,1902,1902,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,2587,2587,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,537,537,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,164,164,10000,0.99999
wuf75-325-M wuf75-016.mwcnf,25071,25071,157,157,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,1181132,1181132,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,1162,1162,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,20383,20383,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,38702,38702,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,1162683,1162683,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,2411150,2411150,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,4650899,4650899,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,82476,82476,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,1164109,1164109,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,16041,16041,10000,0.9999
wuf75-325-M wuf75-066.mwcnf,25075,25075,34542452,34542452,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,11541496,11541496,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,11611179,11611179,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,59144,59144,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,167190,167190,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,12255,12255,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,23063763,23063763,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,273714,273714,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,48,48,10000,0.99999
wuf75-325-M wuf75-066.mwcnf,25075,25075,16020,16020,10000,0.99999
wuf75-325-M wuf75-019.mwcnf,25800,25800,46,46,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,208,208,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,248,248,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,369,369,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,205,205,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,1,1,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,22,22,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,43,43,10000,0.9999
wuf75-325-M wuf75-019.mwcnf,25800,25800,29,29,10000,0.9999
